character,pinyin,part_of_speech,definition
衰,cui1,10,(1) 由大到小依照一定的标准递减。如:衰分(古代数学名词。谓从大渐差而小);衰序(衰次。按一定比数递减的次序);衰征(衰政。视土地之差等以征税) (2) 减少。如:衰少(减少);衰乏(减少缺乏)
衰,shuai1,10,(1) (会意。从衣，从冄( rǎn )。“冄”象草毛茸茸的样子。是“蓑衣”的“蓑”的本字。（ suǒ ）本义:蓑衣。) (2) 力量减退，衰落，没落。与“盛”相对 衰则气复反入。。注:“谓病衰退也。” 一鼓作气，再而衰，三而竭。呜呼!盛衰之理，虽曰天命，岂非人事哉! 宋 · 欧阳修 《新五代史·伶官传·序》 又如:衰末(衰落微末);衰旺(衰落与旺盛);衰季(衰微末世);衰废(衰败颓废);衰宗(殁落残败的宗族);衰门(寒门);衰薄(颓废浇薄。多指道德风尚) (3) 减少;削弱 其周德之衰乎。。注:“小也。” 昔周道衰微。。疏:“谓衰弱陵迟。” 余幼好此奇服兮，年既老而不衰。日食饮得无衰乎? 又如:风势渐衰;衰颓(衰败);衰止(衰减而止息);衰乏(衰退疲乏);衰色(指姿色衰减的女子) (4) 枯萎;凋谢 明朝风起应吹尽，夜惜衰红把火看。唐 · 白居易 《惜牡丹花》 是处红衰翠减，苒苒物华休。宋 · 柳永 《八声甘州·对潇潇雨洒江天》 常恐秋节至焜黄华叶衰。又如:衰红(凋谢的花);衰条(枯枝);衰黄(枯黄)
衰,shuai1,5,(1) 衰老 年衰志悯。。注:“老也。” 人之老也形盖衰。。注:“肌肤消也。” 而臣衰，窃爱怜之。其无宿根者，即候苗成而未有花时采，则根生已足而又未衰。宋 · 沈括 《梦溪笔谈》 又如:衰颜(衰老的容颜);衰暮(老年;晚年);衰冗(衰老冗废);衰年(衰老之年);衰枯(衰老干枯);衰耄(衰老;年老糊涂) (2) 人老时鬓发疏落变白 塞上长城空自许，镜中衰鬓已先斑。陆游 《剑南诗稿》 又如:衰白(人老时鬓发疏落变白);衰鬓(年老而疏白的鬓发。多指暮年) (3) 衰弱 老妪力虽衰，请从吏夜归。唐 · 杜甫 《石壕吏》 又如:衰癃(衰弱多病);衰迈(衰弱老迈);衰困(衰弱困顿);衰窿(衰弱抱病) (4) 懈怠 年既老而不衰。。注:“懈也。” 又如:衰葸(懈怠畏惧);衰惰(怠惰);衰堕(懈怠)
拗,ao4,10,(1) 违反;不服从 古心虽自鞭，世路终难拗。唐 · 韩愈 《答孟郊》 又如:拗憋(倔强顽抗，不顺从);拗怒(压抑愤怒);拗抗(违反;不服从);拗戾(违反) (2) 不顺口，作旧诗时平仄不依常格 怪事，没有比这个再拗口，再难记的了。— 茅盾 《陀螺》 又如:拗律(违反平仄常格的律诗);拗救(律诗的拗句，须用拗救，有拗有救，才不为病);拗字(律诗中不合常格的字) (3) 撬，扳 口如暴死人，铁石拗不开。前蜀 · 贯休 《偶作》 又如:拗项(扭拗颈项。比喻士大夫期望高官厚禄);拗开(两手把东西掰开)
拗,niu4,5,(1) (形声。从手，幼声。ǎo 本义:用手折断) 固执。如:拗逆(违逆);拗别(不顺从);拗彆(不顺从);执拗;脾气很拗;拗性(性情固执);拗执(固执倔强);拗强(固执倔强);拗木枕(强项。比喻性格倔强而不肯低头)
拗,niu4,10,(1) 向相反或不顺的方向扭转。如:拗项(扭转颈项);拗转(扭转);拗捩(扭弯)
陆,lu4,6,(1) (会意。从阜( fù )，表示与地形地势的高低上下有关，从坴( lù )，土块很大。“坴”亦兼表字音。本义:陆地，高而平的地方) (2) 同本义 陆，高平地。鸿渐于陆。陵阜陆墐。陵衍平陆。三 水陆草木。宋 · 周敦颐 《爱莲说》 水陆俱下。又如:大陆(广大的陆地);水陆(水面和陆地上);陆毛(陆地之所产。指兽类);陆田(旱田。对水田而言);陆径(即陆路);陆船(即旱船。船形的花车) (3) 路;道 复陆重阁，转石成雷。张衡 《西京赋》 (4) 陆路 运盐之法，凡行百里，陆运斤四钱，船运近一钱。沈括 《梦溪笔谈·官政一》 又如:水陆兼程;水陆交通 (5) 西汉侯国名 ，在今山东省寿光县东 (6) 象声词。如:陆陆(状声词。形容辘轳沿着绳索下降的声音) (7) 姓。如:陆费(复姓)
陆,lu4,5,(1) 通“碌”。平凡。如:陆陆(很平凡的样子。同“碌碌”)
陆,lu4,10,(1) 通“踛”。跳跃 龁草饮水，翘足而陆，此马之真性也。 (2) 卸;摘 一边就摘了帽子，陆了网子，脱了布衫子。明 · 西周生 《醒世姻缘传》 (3) 通“虏”。掳掠 会 公孙瓒 师旅南驰，陆掠北境。
纤,qian4,6,(1) 用于拉船的绳索 我比不得他们扯篷拉纤的图银子。又如:纤道(江河两岸纤夫挽船前进的小路);纤路(纤道) (2) 牵牲口的绳索 马牛有纤，私属有闲。唐 · 刘禹锡 《观市》
纤,xian1,5,(1) (形声。从糸，千声从糸( mī )，细丝，表微小。本义:细小) (2) 同本义 纤，细也。厥筐元纤缟。。郑 注:“细也。” 纤縠蛾飞。傅毅 《舞赋》。注:“细縠也。” 杂纤罗。司马相如 《子虚赋》 善无微而不赏，恶无纤而不贬。母子慈爱，始终无纤介之间。。注:“纤介，犹微细也。” 纤谷蛾飞可爱，浮腾雀跃仙踪。又如:纤毫芥蒂(细小的隔阂或不快);纤忽(极细小);纤刀(细小的刀子);纤腰(细小的腰。形容美人的腰) (3) 吝啬，花钱小气 周 人既纤，而 师史 尤甚。又如:纤啬(悭吝，琐屑，指斤斤计较) (4) 脆弱，小巧 妩媚纤弱。司马相如 《上林赋》。注:“纤弱，谓容体细柔弱也。” 又如:纤人(体质孱弱的人;品格低下的人，指小人);纤指(女子柔细的手指。同纤手) (5) 衣薄的样子 (6) 祭服的颜色，黑经白纬曰纤 已下，服大红十五日，小红十四日，纤七日，释服。
纤,xian1,6,(1) 细纹丝帛 被文服纤，丽而不奇些。又如:纤华(指细巧精美的衣服或物品);纤罗(细薄透气的丝织品) (2) 纤维 缕积于纤，纶成若屈。又如:化纤(化学纤维的简称) (3) 古代计量单位 (4) 一寸或一两的千万分之一 (5) 记时单位 太阳一日平行五十九分八秒一十九微四十九纤三十六芒，最高一年行四十五秒。
哩,li5,4,(1) 用在陈述句末，表示肯定、猜测、夸张、强调等语气。跟 “呢” 略同。如:还早哩 (2) 〈方〉∶用于句中并列成分之后，表示例举，跟 “啦” 相同。如:笔哩，墨哩，都在桌上放着
哩,li3,0,(1) 英语mile的译名，一哩( (2) yīnglǐ　ㄧㄥˉㄌㄧˇ (3) )。英美制长度单位，一哩等于5280英尺，合1609米（中国大陆地区已停用此字，写作“英里”）。
分,fen1,10,(1) (会意。从八，从刀。“八”就是分;从“刀”，是以刀剖物，使之分开的意思。本义:一分为二) (2) 同本义。分开，分成，分出，与“合”相对 分，别也。死生分。然则何以分之? 以 齐 之分，奉之而不足。三首俱烂，不可识别。乃分其汤肉葬之。晋 · 干宝 《搜神记》 江自湖口分一支为南江。宋 · 陆游 《过小孤山大孤山》 文官武将…分两行而入。又如:分合(分开与合并);分地(分割土地;分封土地);分间(分开，间隔);分灶(分家度日) (3) 辨别，区分 五谷不分，孰为夫子! 地也，你不分好歹何为地! 元 · 关汉卿 《窦娥冤》 又如:分绝(区别;分隔);分划(区分;划分);分殊(区分;区别);分年(区别年岁) (4) 分给，分配 衣食所安，弗敢专也，必以分人。而官与吏剖分矣。清 · 方苞 《狱中杂记》 又如:分与(分给);分茅裂土(古代天子分封诸侯时，按封地方向用白茅包土给予受封者) (5) 离开;离别 执手分道去，各自还家门。又如:分袂(分手、离别);分北(分离);分首(离别);分违(分隔。离别) (6) 分派，委派某人到某一岗位上去或担任某一职务。如:分任务;分工作 (7) 分散 倍则分之，敌则能战之。又如:分损(分散，减少);分披(披散;分散) (8) 把…隔开成两半 当其南北分者，古长城也。清 · 姚鼐 《登泰山记》 自非亭午夜分，不见曦月。郦道元 《三峡》 又如:分界牌(分别阳间和阴间(生和死)的界标);分墨(中分墨线。相当于设计图的中心线) (9) 排解，调和矛盾 天下未定，两虎安得私斗，今日朕分之矣。 (10) 分担，共同承担 己乃分城而守。清 · 邵长蘅 《阎典史传》 又如:分过(分担过失、过错);分谤(分担别人受到的诽谤)
分,fen1,6,(1) 表示分数。如:三分之一;五分之四 (2) 计数单位的十分之一。如:分贝;三分成绩 (3) 节候名。如:春分;秋分
分,fen1,11,(1) 时间单位，等于1/60小时，或60秒 (2) 角度测量单位，等于1/60度或60秒 (3) 长度单位，寸的十分之一 舟首尾长约八分有奇。明 · 魏学洢 《核舟记》 (4) 价值等于某货币单位百分之一的单位 (5) 用数字表示的质量等级 (如牲口或黄油的等级);常以100分为最高等级，并根据某种规定的方案，对一些指定的重要特征(如形态、皮毛的情况、香味等)分配分数，总分恰为100分
分,fen1,2,(1) 分头;分别 吾与足下分任之。清 · 梁启超 《谭嗣同传》 分遣贝勒及它将略定东南郡县。清 · 邵长蘅 《阎典史传》 又如:分置(分别设置);分统(分别统率);分掌(分管);分治(分别治理)
分,fen1,5,(1) 分出的(部分)。如:分店;分号;分行;分卡(分站) (2) 通“纷”。乱，杂 分其师众，人既迷芒，必其将亡，亡之道也。又如:分错(纷乱错杂)
分,fen4,6,(1) 所分之物，整体中的一部分 杀士三分之一而城不拔者，此攻城之灾也。又如:股分;部分;分资(共同送礼或办事情时每个人所分摊的钱);分例(按规定或习惯分发的每人一份的钱或物);分均(各分相等) (2) 分际，合适的界限 两个正斗到分际。又如:分际(紧要关头;程度;地步;分毫);分直(分齐。犹分际) (3) 成分。特定物质包含、提供或产生的量。如:水分;盐分;养分;肥分 (4) 职分;本分 此臣所以报先帝，而忠陛下之职分也。诸葛亮 《出师表》 又如:本分;分守(职守);分事(职分);分素(职分确定) (5) 原则;原理 况夫先王之道、仁义之统、诗书礼乐之分乎? (6) 身分。如:分上(本分之内;情面;有面子、能说情的人);分理(名分与事理);分限(本分);分势(地位权势) (7) 资质 夫聪明者，英之分也，不得雄之胆则说不行;胆者，雄之分也，不得英之智则事不成。 (8) 缘分;命运;机遇。如:分福(福分);分缘(缘分) (9) 情分 恩爱苟不亏，在远分日亲。曹植 《赠白马王彪》 又如:分好(情义，友谊)
分,fen4,10,(1) 甘愿;满意 不分桃花红胜锦，生憎柳絮白于绵。杜甫 《送路六侍御入朝》 又如:分甘(甘愿) (2) 意料;料想 自分已死久矣。又如:分定(命中注定)
晕,yun1,10,(1) 昏倒 魏老儿 上了一夹棍， 贾魏氏 上了一拶子，两个人都晕绝过去。又如:晕绝(昏厥);头晕(头脑昏乱);晕昏(昏迷);晕迷(昏眩)
晕,yun4,6,(1) (形声。从日，军声。本义:日月周围形成光圈) (2) 同本义 (3) 日月周围的光圈 晕，日月气也。晕，卷也。气在外卷结之也，日月俱然。晕适背穴。日月晕适，云风，此天之客气，其发见亦有大运。又如:月晕(月亮有光环);晕珥(晕和珥。泛指日、月旁的光晕);晕蚀(日月之晕与食) (4) 环形花纹或波纹 木有瘿，石有晕，犀有通，以取妍于人，皆物之病也。宋 · 苏轼 《答李端叔书》 又如:晕光(彩虹的光彩) (5) 光影或色彩四周模糊部分。如:晕状(形容四周光影、色泽模糊的情状);晕圈(发光体周围的模糊光圈) (6) 光环。围绕于乳头周围的有色环(乳晕)，或围绕于水疱或脓疱周围的有色的环
磕,ke1,13,(1) (形声。从石 hé 声。本义:石声或鼓声) 同本义 (2) 石头撞击声 磕，石声。 (3) 物相碰声 榜舫兮下流，东注兮磕磕。汉 · 王褒 《九怀尊嘉》 又如:磕擦擦(形容物体磨擦碰撞声或马蹄声);磕磕(物相碰声);磕扑扑(急促的脚步声) (4) 眯稳莸犊痴渡鄙H磕叉(磕叉叉;磕擦。砍砸斩杀声)
磕,ke1,10,(1) 碰击，碰撞 云缠风束乱敲磕。杜牧 《大雨行》 又如:磕打(捶打;比喻折磨);磕开(击开;撞开);磕撞(碰撞，撞击);磕竹(用两块瓢形的竹、木片占卜吉凶);磕牙料嘴(斗嘴，耍嘴皮子);磕绊(由说话引起的争端冲突) (2) 通“嗑”( kè )。用上下牙咬有壳的或硬的东西 黛玉 磕着瓜子儿，只管抿着嘴儿笑。 (3) 叩头，旧时的跪拜礼 爹!就这样跪着磕吧，别换衣服啦。曹禺 《北京人》 又如:磕头礼拜(叩头行礼);磕扑(双膝同时着地的声音) (4) 倾侧倒下。如:磕伏(俯卧;趴);磕爬四五六(方言。向前跌倒，即跌个狗吃尿) (5) 通“瞌”。如:磕睡(睡眠，亦指倦极小睡);磕睡虫(神话中一种促人睡眠的虫) (6) 套;戴;扣上。如:帽子往头上一磕;磕脑(古代男子裹头的巾)
磕,ke1,5,(1) 凸出。如:磕额(额头凸出);磕膝盖(方言。膝盖)
磕,ke1,2,(1) 突然。如:磕搭 (亦作“磕答”、“磕塔”。犹言一下子，突然)
颉,xie2,5,(1) 颈项僵直的 颉，直项也。从頁，吉声。王公大人有严志颉颃之行。邹衍 以颉亢而取世资。长短颉喔百疾。 (2) 又如:颉佷(强项凶狠)
颉,xie2,10,(1) 鸟飞而下 燕燕于飞，颉之颃之。 (2) 又如:颉杭(上下飞动);颉滑(错乱);颉地颃空(借措建筑物的构件有的向下，有的向上)
颉,xie2,6,(1) 有花纹的缯 男女椎髻，穿绿颉布短衫。元 · 汪大渊 《岛夷志略》 (2) 姓 (3) 人名，如：颉利可汗
颉,jie2,0,(1) 〔仓颉〕上古人名，相传他创造文字。 (2) （ (3) 頡 (4) ）
氓,mang2,6,(1) “流氓” ( liúmáng ):原指无业游民，后来指品质恶劣、不务正业、为非作歹的人
氓,meng2,6,(1) (会意。从民，亡声。“亡” 亦有表意作用，指自彼来此之民。本义:外来的百姓) (2) 同本义 氓，民也。。按，自彼来此之民曰氓。而不忧民氓。以宽民氓。远方之人，闻君行仁政，愿受一廛而为氓。 (3) 古代称百姓 氓之蚩蚩，抱布贸丝。氓家无积而衣服修。。注: “谓民家” (4) 又如:群氓(统治阶级对百姓的蔑称);氓黎(民众，百姓);氓家(民家);氓庶(百姓);氓萌(民众);氓智(人民的聪明才智);氓俗(民俗) (5) 野民，周朝指居住在鄙野地区从事农业生产的奴隶 奸巧边萌(氓)。 (6) 又如:氓隶(犹贱民，旧时对劳动人民的贬称) (7) 通 “泯”。灭，尽 庄王 之氓社稷也。
卷,juan3,10,(1) (形声。从卩( jié ，甲骨文象人曲膝而跪的样子)，劵( juàn )声。( quǎn )本义:膝曲) (2) 把物弯转成圆筒形 有卷者阿。赢缩卷舒。。注:“卷，屈也。” 漫卷诗书喜欲狂。唐 · 杜甫 《闻官军收河南河北》 卷甲而藏之。宋 · 苏轼 《教战守》 又如:卷舒(裹卷和舒展);卷帐(新郎在女家结婚，三日之后新婚夫妇带妆奁回到男家);卷坐(轿舆不调头，向后退称卷坐);卷戏(过去河南地方剧种之一，今已绝迹) (3) 席卷 卷石底以出。唐 · 柳宗元 《至小丘西小石潭记》 北风卷地白草折。唐 · 岑参 《白雪歌送武判官归京》 卷我屋上三重茅。唐 · 杜甫 《茅屋为秋风所破歌》 卷起千堆雪。宋 · 苏轼 《念奴娇·赤壁怀古》 又如:卷地(从地面席卷而过，形容气势浩大);卷包(犹言席卷);卷篷(风卷飞篷) (4) 用手握住筒状物向一端滑动。如:卷袖子;卷裤腿
卷,juan3,6,(1) 成圆筒形或球形的东西。如:胶卷;花卷;行李卷 (2) 通“衮”。衮服。古代贵族画卷龙图案的礼服 制三公一命卷，若有加则赐也。天子卷冕北面。
卷,juan3,11,(1) 把纱、线或电影胶片、磁带等绕满一个轴时所需要的量。如:几卷电影片 (2) 通常指一小捆或小簇东西。如:一卷钞票
卷,juan3,10,(1) 〈方〉∶骂。如:卷骂(大骂) (2) 断绝 我举安邑，塞女戟， 韩 氏太原卷。 (3) 犹聚 舞 《云门》 、 《大卷》。。贾公彦 疏:“卷者，卷聚之义，即族类也。” (4) 隐藏。如:卷怀(收藏;有隐退不仕之意);卷迹(敛迹;退隐)
卷,juan4,6,(1) 古指书的卷轴，今为书籍的通称。如:卷帙(指书。可舒卷的叫卷，编次的叫帙);卷末(书卷的末尾);卷次(卷第。书籍按卷分的次序);卷尾(书籍字画的末尾处) (2) 古时书籍写在帛或纸上，一部书可分成若干部分，每部分的文字自有起讫，后代仍用来指全书的一部分 军书十二卷。卷卷有爷名。为一卷。宋 · 文天祥 《指南录后序》 又如:上卷;下卷;第三卷 (3) 试卷 呈卷。清 · 方苞 《左忠毅公逸事》 又如:试卷;答卷;交卷;卷摺(科举考试的卷子);卷头(考卷的封面);卷牍(文件) (4) 档案 如:查卷;卷面(卷宗的封面) (5) 裱好并带轴的书画等 东坡 右手执卷。明 · 魏学洢 《核舟记》 鲁直 左手执卷末。右手指卷。各隐卷底衣褶中。又如:画卷;书卷
耙,pa2,6,(1) (形声。从耒，巴声。耒，用以翻土的农具。( bà )本义:耙子) 同本义。如:钉耙;粪耙;草耙;木齿耙
强,qiang2,6,(1) (形声。从虫，弘声。本义:米中小虫) (2) 同本义 (3) 通“襁”。襁褓 成王 少在强葆之中。
强,qiang2,5,(1) (通彊。弱的反义词) (2) 弓有力 彊，弓有力也。强，健也。材官引彊。强弩之末。又如:强弩(用机括发射的强弓) (3) 强盛;势力大 不可谓强。兵革之强。天下强国无过 齐 者。自胜者强。赵 强而 燕 弱。以弱为强。少年强则国强。清 · 梁启超 《饮冰室合集·文集》 又如:强家(势力强盛的卿大夫);强雄(强盛);强寿(强盛而长久);强对(强大的对手);强元(以强大立足天下);强兵(强大的军队);强阵(强大的军队);强旅(强大的军队);强弱(强大与弱小) (4) 强健;健壮，有力 筋骨之强。以强壮出。刚健强力。宋 · 苏轼 《教战守》 又如:强仕(四十岁。这年龄的人各方面已经成熟，正好出仕做官);身强力壮;强死(人尚壮健而死于非命) (5) 刚强;坚决 四十曰强。强立而不反。。注:“临事不惑也。” 彊而义。。传:“无所屈挠也。” 彊忍不义。申生 甚好仁而彊。又如:强果(坚强果敢); 强执(坚强固执) (6) 强横 凶强侠气。又如:强悍(强横勇猛);强戾(强横凶暴);强虐(强横暴虐);强狠(强横凶狠) (7) 强暴 彊，暴也。侯彊侯以。曾是彊御。又如:强俊(强暴而又才智出众);强虏(强暴的敌人);强塞(强暴固执);强鸷(强暴凶狠) (8) 优越;好 博闻强志。又如:强起(强如。胜过;比…更好);比他强;比昨天强;我们的劳动条件一年比一年强;博闻强记;强处 (9) 略多于…的 策勋十二转，赏赐百千强。又如:三分之一强
强,qiang2,6,(1) 强有力的弓 挽弓当挽强。杜甫 《前出塞》 (2) 强者 弱固不可以敌强。 (3) 姓
强,qiang2,10,(1) 使强，加强 其为食也，足以增气充虚，彊体适腹而已矣。
强,qiang3,10,(1) 强制，强迫 强饮强食。三君皆将强死。又如:强匄(仗势索取);强媒硬保(强迫做媒，包办成亲);强劝架(连拉带劝;拉偏架);强邀(夺取);强风情(强作风流情事);强为(硬干;蛮干);强起(强迫不愿做官的人任官就职) (2) 劝勉 强之。。注:“犹劝也。” 君如彼何哉?强为善而已矣。
强,qiang3,2,(1) 勉强 公孙黑又使强委禽焉。乃自强步。不可强夺。虽欲强聒。宋 · 王安石 《答司马谏议书》 再四强之。清 · 梁启超 《谭嗣同传》 又如:牵强;强词夺正(强词夺理);强勉(勉强);强词(勉强说出来的话);强口(勉强);强应(勉强答应);强不知以为知 (2) 竭力;尽力 知困然后能自强也。。注:“修业不敢倦。” 强焉日有孳孳。大臣强谏。强忍与言。明 · 宗臣 《报刘一丈书》 将军强留之。清 · 魏禧 《大铁椎传》 而强假焉。清 · 袁枚 《黄生借书说》 又如:强恕(努力行忠恕之道);强力(勉力);强仁(勉力行仁);强步(勉力步行)
矫,jiao3,10,(1) (形声。从矢，乔声。本义:把箭杆揉直的一种器具。引申为 “正曲使直” ) (2) 把弯曲的物体弄直 矫，直也。坎为矫輮。古枸木必将待櫽括烝矫然后直。 (3) 又如:矫矢(矫直箭矢);矫揉(使物或曲或直。矫是改直，揉是变曲);矫直(矫正弯曲使之直);矫枉(矫正弯曲。比喻纠正偏邪) (4) 匡正;纠正 以矫饰人之情性而正之。其刑矫诬。以绳墨自矫。以身矫之。清 · 张廷玉 《明史》 (5) 又如:矫世(纠正世俗之失);矫世变俗(谓纠正和改变不良的世风民俗);矫激(矫正;偏激);矫舌(使舌头发音正确);矫奸(抑制奸邪);矫异(抑制差别);矫情镇物(故意抑制情感，表示镇定，使人不测);矫世励俗(改正世风，激励世俗) (6) 假托;诈称 矫王命以杀之。弦高 ] 遇之 殽 ，矫以 郑伯 之命而犒师焉。乃矫 郑伯 之命以劳之。非其事而居之，矫也。彼用无为有，故谓矫。矫君命。矫 魏王 令。矫杀 晋鄙。 (7) 又如:矫夺(假托君命而强行夺取);矫称(假托名义而加宣扬);矫命(假托命令);矫旨(假托帝王诏命);矫制(指假托君命行事) (8) 高举 矫茲媚以私处兮。。注: “举也。” 矫首而遐观。晋 · 陶渊明 《归去来兮辞》 仰矫首以遥望兮。矫顾怒步。唐 · 李朝威 《柳毅传》 矫首昂视。明 · 魏学洢 《核舟记》 矫首昂视。(抬头仰望。矫，抬举。)。又如:矫手(举手);矫翼(振翅);矫首(昂首;抬头) (9) 拂逆，违背 以矫俗干名。宋 · 司马光 《训俭示康》 (10) 又如:矫情干誉(故违常情，以求美誉);矫俗(故意违反世俗人情，以显示自己的清高不凡) (11) 飞 矫，飞也。《《广雅·释估三》 晒夏蟲之疑冰，整轻翮而思矫。鹤矫 閬风 ，麟腾 玉京。放弓一长啸，目送孤鸿矫。宋 · 苏轼 《人日猎城南》
矫,jiao3,5,(1) 勇武的样子 矫矫虎臣。 (2) 又如:矫任(恣意任性)
矫,jiao2,0,(1) 〔矫情〕方言，指强词夺理，无理取闹，如“这个人太矫矫”，（“情”读轻声）。
缉,ji1,10,(1) (形声。从糸( mì )，表示与线丝、缠织有关。本义:绩，把麻搓成线) 众妇夜缉灯烘。宋 · 苏轼 《次子由诗相庆》 又如:缉绩(纺织，编织);缉取(搓成);缉麻(绩麻);缉妇(从事纺绩的妇女) (2) 搜捕 访缉纠诘。清 · 方苞 《狱中杂记》 又如:缉听(向各处去搜集消息);缉凶(搜捕凶犯);缉擒(捉拿;缉拿);缉探人(侦察人员) (3) 继续 授几有缉御。又如:缉熙(本指逐渐达到光明，后因以指光明);缉御(侍者连续更替地侍候着);缉绪(继承传统) (4) 会合;和睦。通“辑” 适道已来，四十九载，妙应事多，宜加总缉，共成区畛。有所缉缀。转将深意谕旁人，缉缀疵瑕遣潜说。元稹 《苦乐相倚曲》 思所以镇定民心，缉宁外内。注 还贤与能，群臣缉睦。又如:缉缀(搜辑。引申为编撰书稿);缉众(聚众);缉宁(使祥宁安和) (5) 附耳私语;花言巧语。如:缉缉(附耳私语的声音。形容花言巧语);缉缉翩翩(形容交头接耳、花言巧语)
术,shu4,6,(1) (形声。从行，术声。行，甲骨文中指道路。本义:城邑中的道路) (2) 同本义 術，邑中道也。术，道也。审端径术。园圃术路。。注:“大道也。” 横术何广广兮。归空城兮，狗不吠，鸡不鸣，横术何广兮，固知国中之无人! (3) 泛指街道、道路 齐城 、 高唐 当术而大败。又如:术阡(道路);术径(大道与小路);术路(大道);术衢(道路) (4) 方法;策略 臣有百胜之术。叩其术，曰:“是无难，别具本章，狱词无易，但取案末独身无亲戚者二人易汝名。” 清 · 方苞 《狱中杂记》 子有何术可导我耶? 唐 · 李朝威 《柳毅传》 又如:术法(方法);术鹄(方法与目的) (5) 特指君主控制和使用臣下的策略、手段 孤不度德量力，欲信大义于天下，而智术浅短，遂用猖獗，至于今日。 (6) 权术;计谋 人主之大物，非法则术也。又如:术数(方法和谋略);术计(权术计谋);术略(韬略;谋略);术谋(讲求权术谋略) (7) 技艺;业术 古之学术道者。役民三司盗者，授以击刺之术。宋 · 苏轼 《教战守》 女 婉贞 ，年十九，自幼好武术，习无不精。清 · 徐珂 《清稗类钞·战事类》 又如:营造术;雕刻术;术道(才艺之道);航海术 (8) 法，法律 术，法也。不以犯有司正术也。故君子操权一正以立术。 (9) 学说 闻道有先后，术业有专攻，如是而已。唐 · 韩愈 《师说》 窦太后 好 黄帝 、 老子 言，帝及太子诸窦不得不读 《黄帝》 《老子》 ，尊其术。 (10) 方术。指医、占卜、星相等术艺 近塞上之人，有善术者，马无故亡而入胡。又如:术数(用星占、卜筮、命相、拆字等方术，推测国家和个人的气数及命运);术法(法术;方术);术知(道术才智);术者(术人，以占卜、星相等为职业的人)
术,shu4,10,(1) 学习;实践 蛾子时而术之。 (2) 通“述”。申述，叙述，记叙 昔者暴王作之，穷人术之。体恭敬而心忠信，术礼义而情爱人。今陛下念思祖考，术追厥功。能术远者考之以近。陆贾 《新语》 (3) 选择职业 孟子 曰:“术不可不慎。”信夫! 方苞 《狱中杂记》
草,cao3,6,(1) (形声。从艸，早声。小篆艸，象两棵草形，是草的本字。今“草”字系假借字，原是“皂”的本字。《说文》 :“草，草斗，栎( lì )实也”(栎实:栎树的荚果，即皂角)。借为“草木”之“草”以后，则另造“皂”字来代替。本义:栎实) (2) 草本植物的总称 艸，百卉也。从二屮。会意。经传皆以草为之。汉书多以屮为之。大草不生。。注:“草，秽也。” 草食者羶。草苴比而不芳。。注:“生曰草。” 苔痕上阶绿，草色入帘青。唐 · 刘禹锡 《陋室铭》 茅檐低小，溪上青青草。宋 · 辛弃疾 《清平乐·村居》 (3) 又如:除草;粮草(军用的粮食和草料);野草遍地;寸草不留;青草;牧草;茅草;草厅(草堂;厅堂);草莽(草丛。比喻无用的东西) (4) 指用作燃料、饲料的干草 今又盛寒，马无稿草。 (5) 又如:草库伦(指围起来的草场);草料 (6) 未开垦过的荒地 垦草创邑，辟地生粟。 (7) 又如:草甸子(方言。长满野草的低湿地);草洼(低洼积水，野草丛生的地方);草间(民间);草茅危言(百姓对国政的剀切言论。草茅，指在野百姓;百姓论庙堂，恐有危险，故谓危言) (8) 文书的底稿;初稿 吴 中士人家藏其草。宋 · 洪迈 《容斋续笔》 (9) 又如:草藁(同草稿);起草;奏草(奏张的草稿);草本(原稿的底本) (10) 一种书写体。如:章草;狂草;草行(书法中的行书兼草体)
草,cao3,5,(1) 粗糙;粗劣 令人事无大小皆潦草过了。 (2) 又如:草略(马虎，疏忽);草具(粗劣;粗劣的饭食);草酌(简便的筵席。多用作设宴请客的谦词);潦草(字不工整;不仔细;不认真) (3) 匆促，急促。如:草蹙(匆促)
草,cao3,10,(1) 割草，除草。如:草薙(芟夷，像除草似的加以杀戮) (2) 创造;创立 草，造也。天造草昧。。虞 注:“草，草创物也。” (3) 又如:草立(创立);草昧(创始;草创);草律(创制法律) (4) 草拟;起稿 萧何 草律。。注:“创造之。” 草立土德时历制度。。注:“创始也。” 召今草檄。 (5) 又如:草立(创立);草制(拟订制书);草诏(草拟诏书);草表(草拟章奏)
草,cao3,6,(1) 雌马。也泛指母畜。如:草狗;草骡(牝骡)
